id,nama,email,password,preferensi,alergi,created_at,updated_at
45,"Evan Mitchell",evanmitchell@user.com,$2y$10$6AxFBqw67fMBQUgkPml/T.9MtAAoCLuAN0gTJe/jJoSxHebi3qQ3O,normal,milk,"2025-01-06 02:38:13","2025-01-06 02:38:13"
46,"Zoe Thomas",zoethomas@user.com,$2y$10$Zom/w5OLCZsBbKQadHfq6eVAs8KUF9mBTcJQVxLox374JmSzEhKmO,vegan,none,"2025-01-06 02:38:13","2025-01-06 02:38:13"
47,"Lily Adams",lilyadams@user.com,$2y$10$KbgGfpIMGghd8vRHA90UDO0oH.M6hI/lILlXAef6pDanSaDAy13Uu,dessert,milk,"2025-01-06 02:38:14","2025-01-06 02:38:14"
48,"Mia Robinson",miarobinson@user.com,$2y$10$m21mM4KfjUiyVfjRq9Yfh.SfhZ2HZsRef9ryoA5XzXa4M4oMRNFDe,dessert,peanut,"2025-01-06 02:38:14","2025-01-06 02:38:14"
49,"Oliver Evans",oliverevans@user.com,$2y$10$dWO/Q2AcF0RGxDb.Y4RWGOal3KM4qTtS1sHJljoLb4H3QWg9gcSTm,dessert,none,"2025-01-06 02:38:14","2025-01-06 02:38:14"
50,"Daniel Rivera",danielrivera@user.com,$2y$10$/BvJ2bKL55H0EGMjp0VY1.E9e5UbVgG.uT1sGY0Fukn2F1DrvzY/.,normal,none,"2025-01-06 02:38:14","2025-01-06 02:38:14"
51,"Ella Brooks",ellabrooks@user.com,$2y$10$plGLqSft7yJrXQSI9J8et.UfR9R/NJuoIzcIAnEDex.ffbLHiaVFG,spicy,peanut,"2025-01-06 02:38:14","2025-01-06 02:38:14"
52,"Luna Hayes",lunahayes@user.com,$2y$10$xhKPd8MVAGsRWJ7Cy1potOGeWipxYea1tNzQdDUXENUv8l3WcvdMq,vegan,seafood,"2025-01-06 02:38:14","2025-01-06 02:38:14"
53,"Noah Fisher",noahfisher@user.com,$2y$10$enCYmnA2ERgfMiGve1kl3uAiFYMZv/.LicQU//vk9BorZFvMGDdSy,normal,milk,"2025-01-06 02:38:14","2025-01-06 02:38:14"
54,"Grace Hunter",gracehunter@user.com,$2y$10$Kuq1TcEfmdIGxe02OGrVO.Xwwyq9WdkLrx/wmgnAQS9UddwTO3qEC,dessert,tofu,"2025-01-06 02:38:14","2025-01-06 02:38:14"
55,"James Turner",jamesturner@user.com,$2y$10$zIJbcOszGvJk9KGOmqLbNuZMtieD1tycsI52Tyi4bJa1HzsK6vhBG,spicy,none,"2025-01-06 02:38:14","2025-01-06 02:38:14"
56,"Chloe Perry",chloeperry@user.com,$2y$10$WJlk6HsFCSZiLM8XZl8b6u/mcaZJjuuGQndc9.8ixcpNr1OHxLQP.,vegan,peanut,"2025-01-06 02:38:14","2025-01-06 02:38:14"
57,"Liam Collins",liamcollins@user.com,$2y$10$cSxYhntk.T/FU0mjtr6fIu/odKe4AIsxDBF1rjs9YUHwpPEWwVv4e,normal,seafood,"2025-01-06 02:38:15","2025-01-06 02:38:15"
58,"Olivia Bennett",oliviabennett@user.com,$2y$10$XLverQ4MRJi6TyS4MrAeBuUXqPb/Bj278R10Ho/PZm2sB8Ewo7xAO,spicy,milk,"2025-01-06 02:38:15","2025-01-06 02:38:15"
59,"Emily James",emilyjames@user.com,$2y$10$mb56EABuzyl6ZQnwncXXRusgZEDT.Ey71owepY0WaHpUNK0iKQq5C,vegan,none,"2025-01-06 02:38:15","2025-01-06 02:38:15"
60,"Mason Reed",masonreed@user.com,$2y$10$YOkQnoGymVRuX1ecvHlXi.iCmPuJ80g9.sVSijryghGKZ/jKVGL/W,normal,hazelnut,"2025-01-06 02:38:15","2025-01-06 02:38:15"
61,"Sophia Carter",sophiacarter@user.com,$2y$10$5fNC24Wnuvx1sx6TC0lzteT81Qi8zxXRtajMHlmc4QfMholzpt9tu,dessert,peanut,"2025-01-06 02:38:15","2025-01-06 02:38:15"
62,"Harper Russell",harperrussell@user.com,$2y$10$qFktzVlusWyuhR7iy.tWwOXc8URvWLqCz4itSgqbUHqTq3Outy0RG,vegan,milk,"2025-01-06 02:38:15","2025-01-06 02:38:15"
63,"Ava Morgan",avamorgan@user.com,$2y$10$eThjVEDX/vYpq5KL533wPeZmaESn7.SRyF3/52IX49ur5...OkQoi,spicy,seafood,"2025-01-06 02:38:15","2025-01-06 02:38:15"
64,"Benjamin Ortiz",benjaminortiz@user.com,$2y$10$8v0zA9IkWC3pJkzo1PPTAeI1KraArw23lk2wToYP.XKQoLQQfKoCC,normal,tofu,"2025-01-06 02:38:15","2025-01-06 02:38:15"
65,"Isabella Hayes",isabellahayes@user.com,$2y$10$N5.R3md/EUSRqTpDHDyPQ.uGvU1R3gMv5i3qSopkUzAhbg.V0hW8S,vegan,none,"2025-01-06 02:38:15","2025-01-06 02:38:15"
66,"Daniel Torres",danieltorres@user.com,$2y$10$azyvbJVJBEWESpVhnW2X4uhY/ev3dGgu4SyyfKT2VTPfN0h9aVBcO,normal,milk,"2025-01-06 02:38:15","2025-01-06 02:38:15"
67,"Lily Bryant",lilybryant@user.com,$2y$10$me/IZOjjUKYmpsqQnjuGjOIdqyVerDisfZJoESreP6Qg1o5RI18Sy,spicy,peanut,"2025-01-06 02:38:15","2025-01-06 02:38:15"
68,"Jacob Evans",jacobevans@user.com,$2y$10$CZdIpkp7c/AE5OV.7z7RueDP/RUm8UBX5I5t7nHoZoxJ9zurpfHka,dessert,none,"2025-01-06 02:38:15","2025-01-06 02:38:15"
69,"Victoria Lee",victorialee@user.com,$2y$10$h5MxXT.rsedq8U0cv8mz2Ol0qmS6qY5o229hOy6jbLfNx2tCP1FZC,normal,hazelnut,"2025-01-06 02:38:15","2025-01-06 02:38:15"
